iter	RMSE
0	16.48837143
1	16.18563597
2	15.89121665
3	15.58814063
4	15.31292341
5	15.04018703
6	14.75997574
7	14.49667565
8	14.24213909
9	13.99393298
10	13.75306576
11	13.51425911
12	13.28866745
13	13.06582788
14	12.85475531
15	12.64334925
16	12.42975847
17	12.20735786
18	11.99590685
19	11.81232129
20	11.6376936
21	11.4428079
22	11.25519005
23	11.07796315
24	10.90638539
25	10.7303674
26	10.5709998
27	10.43230544
28	10.27846657
29	10.1203331
30	9.964716826
31	9.82988605
32	9.701857793
33	9.557528923
34	9.426153606
35	9.292352779
36	9.162359896
37	9.033432737
38	8.918642735
39	8.811266963
40	8.70435511
41	8.588569262
42	8.460838314
43	8.353691622
44	8.250700702
45	8.149628192
46	8.058471346
47	7.961286753
48	7.853427068
49	7.752528619
50	7.656541186
51	7.557633871
52	7.470130084
53	7.383936603
54	7.300251238
55	7.222453563
56	7.143566638
57	7.066077901
58	6.992658546
59	6.918256714
60	6.85174575
61	6.782826131
62	6.710295343
63	6.633374189
64	6.563238477
65	6.500778418
66	6.438641917
67	6.370153912
68	6.314088914
69	6.259028081
70	6.199501968
71	6.142153073
72	6.08911535
73	6.034974167
74	5.983080674
75	5.943078638
76	5.893697715
77	5.849131884
78	5.7978315
79	5.744233506
80	5.694761595
81	5.63886584
82	5.591071112
83	5.542375019
84	5.497735244
85	5.457663502
86	5.408150777
87	5.366499382
88	5.323934837
89	5.287961457
90	5.255146039
91	5.221122357
92	5.180301986
93	5.147498899
94	5.111352902
95	5.07529697
96	5.049051334
97	5.028228397
98	4.99508693
99	4.967304192
100	4.943850779
101	4.916945672
102	4.885117053
103	4.854352956
104	4.832947987
105	4.807935936
106	4.782366694
107	4.754563194
108	4.724166363
109	4.698817278
110	4.671291634
111	4.64427287
112	4.620606901
113	4.593507682
114	4.563123117
115	4.538415483
116	4.513340281
117	4.491142529
118	4.467704302
119	4.44602504
120	4.42170109
121	4.400658156
122	4.383334069
123	4.365275822
124	4.345899097
125	4.326611406
126	4.305304226
127	4.279625758
128	4.257723088
129	4.237801648
130	4.219448241
131	4.199956704
132	4.182321618
133	4.160802265
134	4.142569777
135	4.123971913
136	4.107685781
137	4.087266145
138	4.068453864
139	4.052032691
140	4.039119259
141	4.023870413
142	4.003171164
143	3.988753031
144	3.969858766
145	3.954145087
146	3.935668313
147	3.922631777
148	3.905532453
149	3.892594485
150	3.879676042
151	3.870613627
152	3.857219827
153	3.845995921
154	3.832851012
155	3.820738573
156	3.811735974
157	3.797559985
158	3.786235413
159	3.768422962
160	3.755245951
161	3.74166845
162	3.728823624
163	3.715879018
164	3.701732826
165	3.691436781
166	3.681631033
167	3.672324568
168	3.657988822
169	3.644274209
