iter	Passed	Remaining
0	6	31173
1	12	31718
2	20	33691
3	25	32068
4	32	32181
5	37	31510
6	44	31743
7	50	31339
8	55	30725
9	62	31243
10	67	30538
11	76	31614
12	80	31058
13	85	30617
14	91	30425
15	96	29950
16	100	29551
17	107	29729
18	112	29460
19	116	29099
20	123	29359
21	129	29366
22	134	29178
23	142	29476
24	148	29510
25	155	29737
26	159	29422
27	163	29105
28	171	29322
29	177	29486
30	199	31944
31	211	32866
32	219	33105
33	226	33010
34	232	33037
35	239	32956
36	247	33242
37	261	34173
38	269	34234
39	274	34058
40	282	34133
41	288	34040
42	293	33837
43	300	33867
44	305	33593
45	310	33413
46	315	33253
47	320	33033
48	327	33096
49	334	33073
50	341	33116
51	348	33116
52	353	33013
53	359	32906
54	364	32732
55	369	32597
56	375	32563
57	380	32418
58	385	32282
59	392	32275
60	397	32206
61	402	32066
62	409	32090
63	415	32013
64	428	32540
65	439	32876
66	451	33217
67	460	33427
68	465	33248
69	472	33259
70	476	33110
71	484	33160
72	490	33087
73	495	32959
74	502	32979
75	507	32863
76	512	32779
77	518	32694
78	523	32601
79	528	32523
80	533	32423
81	538	32315
82	543	32175
83	548	32117
84	554	32040
85	561	32108
86	566	31993
87	572	31931
88	579	31984
89	584	31901
90	590	31844
91	597	31881
92	603	31844
93	611	31889
94	615	31779
95	620	31689
96	626	31653
97	627	31398
98	631	31285
99	636	31175
100	642	31178
101	646	31067
102	651	30951
103	669	31495
104	683	31863
105	689	31837
106	695	31794
107	699	31685
108	706	31714
109	711	31634
110	716	31546
111	724	31635
112	730	31573
113	738	31638
114	743	31582
115	747	31483
116	754	31486
117	759	31441
118	765	31396
119	771	31369
120	776	31314
121	781	31232
122	786	31186
123	791	31114
124	796	31058
125	801	31006
126	805	30923
127	810	30867
128	817	30885
129	823	30838
130	828	30804
131	833	30734
132	838	30668
133	842	30605
134	848	30577
135	853	30516
136	858	30457
137	863	30427
138	869	30402
139	874	30340
140	879	30316
141	884	30260
142	888	30180
143	907	30599
144	927	31041
145	932	31018
146	937	30956
147	945	31007
148	951	30972
149	958	30984
150	963	30955
151	969	30925
152	975	30912
153	980	30865
154	985	30807
155	992	30809
156	998	30791
157	1005	30800
158	1009	30735
159	1014	30694
160	1021	30706
161	1026	30657
162	1031	30610
163	1037	30604
164	1043	30584
165	1049	30573
166	1055	30556
167	1061	30532
168	1068	30537
169	1074	30528
170	1084	30616
171	1091	30648
172	1101	30726
173	1108	30738
174	1114	30731
175	1122	30760
176	1141	31095
177	1150	31163
178	1159	31228
179	1170	31332
180	1186	31591
181	1203	31863
182	1216	32033
183	1223	32029
184	1231	32043
185	1236	32011
186	1243	31995
187	1249	31977
188	1254	31931
189	1262	31956
190	1268	31939
191	1293	32384
192	1313	32710
193	1330	32972
194	1347	33210
195	1369	33573
196	1386	33791
197	1405	34098
198	1429	34490
199	1438	34534
200	1446	34534
201	1454	34541
202	1461	34540
203	1469	34546
204	1475	34501
205	1482	34505
206	1490	34501
207	1495	34457
208	1503	34455
209	1508	34408
210	1513	34349
211	1519	34323
212	1524	34262
213	1530	34230
214	1536	34187
215	1540	34114
216	1545	34068
217	1551	34028
218	1557	34005
219	1563	33975
220	1568	33915
221	1573	33859
222	1578	33816
223	1583	33759
224	1588	33703
225	1594	33688
226	1599	33633
227	1604	33582
228	1609	33540
229	1632	33847
230	1645	33981
231	1652	33963
232	1658	33935
233	1663	33888
234	1669	33850
235	1675	33818
236	1680	33781
237	1685	33726
238	1691	33698
239	1696	33637
240	1700	33587
241	1706	33557
242	1711	33513
243	1716	33458
244	1722	33424
245	1727	33389
246	1732	33340
247	1738	33308
248	1743	33259
249	1748	33214
250	1754	33190
251	1759	33154
252	1765	33129
253	1777	33205
254	1786	33235
255	1796	33298
256	1812	33457
257	1824	33540
258	1837	33634
259	1848	33703
260	1880	34151
261	1901	34390
262	1933	34816
263	1942	34840
264	1952	34887
265	1964	34964
266	1976	35034
267	1989	35133
268	2004	35251
269	2015	35315
270	2027	35378
271	2036	35397
272	2046	35440
273	2056	35469
274	2066	35506
275	2075	35523
276	2084	35533
277	2091	35531
278	2116	35810
279	2128	35877
280	2133	35830
281	2144	35879
282	2152	35874
283	2160	35878
284	2167	35861
285	2176	35870
286	2182	35843
287	2191	35857
288	2197	35823
289	2203	35793
290	2208	35735
291	2214	35700
292	2220	35669
293	2225	35615
294	2229	35559
295	2235	35526
296	2241	35495
297	2246	35446
298	2253	35426
299	2258	35382
300	2263	35337
301	2269	35307
302	2274	35260
303	2280	35226
304	2285	35186
305	2290	35142
306	2296	35108
307	2301	35067
308	2307	35025
309	2315	35024
310	2320	34983
311	2325	34948
312	2332	34929
313	2354	35133
314	2369	35236
315	2374	35198
316	2380	35170
317	2385	35115
318	2389	35066
319	2394	35018
320	2398	34961
321	2403	34914
322	2408	34876
323	2413	34828
324	2418	34791
325	2425	34770
326	2429	34723
327	2433	34669
328	2441	34659
329	2447	34632
330	2455	34634
331	2461	34613
332	2468	34591
333	2475	34575
334	2479	34531
335	2484	34486
336	2490	34457
337	2495	34413
338	2499	34366
339	2505	34335
340	2511	34310
341	2517	34291
342	2524	34269
343	2528	34221
344	2534	34199
345	2539	34161
346	2544	34114
347	2549	34082
348	2555	34051
349	2559	34009
350	2565	33983
351	2570	33941
352	2585	34039
353	2594	34056
354	2600	34029
355	2605	33982
356	2609	33935
357	2614	33905
358	2620	33873
359	2624	33821
360	2629	33792
361	2634	33754
362	2639	33714
363	2644	33681
364	2650	33656
365	2655	33621
366	2661	33601
367	2667	33572
368	2672	33537
369	2678	33517
370	2683	33480
371	2687	33440
372	2693	33414
373	2697	33370
374	2702	33332
375	2708	33305
376	2712	33263
377	2717	33224
378	2722	33199
379	2727	33156
380	2732	33125
381	2738	33102
382	2743	33077
383	2748	33039
384	2755	33027
385	2760	32996
386	2765	32965
387	2772	32958
388	2777	32919
389	2782	32888
390	2789	32876
391	2794	32852
392	2801	32835
393	2806	32811
394	2818	32861
395	2829	32895
396	2840	32936
397	2849	32945
398	2855	32929
399	2863	32931
400	2869	32907
401	2873	32871
402	2880	32854
403	2885	32825
404	2890	32799
405	2897	32782
406	2902	32754
407	2908	32731
408	2913	32702
409	2918	32671
410	2923	32636
411	2929	32625
412	2934	32592
413	2941	32580
414	2946	32556
415	2952	32533
416	2960	32536
417	2965	32512
418	2972	32493
419	2977	32471
420	2982	32438
421	2987	32413
422	2993	32390
423	2998	32360
424	3003	32329
425	3008	32302
426	3012	32265
427	3017	32234
428	3024	32224
429	3028	32187
430	3033	32155
431	3040	32147
432	3048	32151
433	3062	32219
434	3075	32277
435	3081	32254
436	3087	32235
437	3092	32205
438	3097	32178
439	3103	32159
440	3107	32125
441	3112	32100
442	3118	32079
443	3122	32044
444	3127	32012
445	3133	31993
446	3138	31965
447	3142	31933
448	3149	31921
449	3154	31898
450	3159	31868
451	3165	31855
452	3171	31836
453	3177	31820
454	3182	31790
455	3187	31760
456	3194	31755
457	3199	31731
458	3205	31709
459	3212	31705
460	3218	31691
461	3226	31692
462	3233	31687
463	3241	31684
464	3247	31670
465	3252	31646
466	3258	31630
467	3265	31620
468	3270	31596
469	3277	31587
470	3282	31565
471	3301	31672
472	3316	31742
473	3322	31724
474	3326	31694
475	3331	31664
476	3337	31644
477	3342	31617
478	3347	31596
479	3353	31579
480	3359	31558
481	3364	31539
482	3372	31543
483	3380	31545
484	3382	31491
485	3389	31482
486	3395	31466
487	3402	31456
488	3408	31442
489	3416	31448
490	3424	31447
491	3433	31460
492	3441	31458
493	3452	31492
494	3459	31480
495	3466	31481
496	3474	31476
497	3481	31471
498	3489	31471
499	3495	31458
500	3505	31478
501	3513	31482
502	3521	31481
503	3544	31617
504	3563	31719
505	3575	31755
506	3582	31748
507	3588	31730
508	3595	31725
509	3603	31724
510	3612	31732
511	3619	31723
512	3629	31745
513	3637	31742
514	3644	31740
515	3651	31730
516	3657	31718
517	3667	31735
518	3677	31750
519	3683	31736
520	3690	31725
521	3699	31737
522	3706	31727
523	3715	31741
524	3722	31731
525	3728	31717
526	3737	31719
527	3744	31712
528	3752	31715
529	3759	31703
530	3789	31895
531	3796	31885
532	3801	31859
533	3806	31838
534	3814	31834
535	3822	31832
536	3830	31837
537	3835	31811
538	3839	31778
539	3845	31764
540	3850	31733
541	3854	31703
542	3860	31686
543	3865	31664
544	3869	31634
545	3875	31614
546	3881	31596
